Post code,ID Type,Email,Location,Number of Devices,Age,Crypto Use,ATM use,Declared Use,Declared Turnover,Actual Use,Actual Turnover,Months Active,Fraud Confirmed,AgeRange,TurnoverDiffStatus,TurnoverDiff,AccUseDiff,EmailDomain
W36,Residence permit ,sheridan53@icloud.com,UK ,4,21,YES,YES,Receiving and Withdrawing,30,ATM,70,1,NO,<30,High,40,Yes,icloud.com
W1,Driving licence Full,lesch.paul@comcast.net,UK ,4,21,NO,NO,Receiving and Withdrawing,60,Friends and Family,100,1,YES,<30,High,40,Yes,comcast.net
W2,Driving licence Full,aliyah47@hotmail.com,UK ,1,18,NO,NO,Receiving and Withdrawing,60,Receiving and Withdrawing,60,1,NO,<30,Same,0,No,hotmail.com
W3,Driving licence Full,lesley76@live.com,Europe ,1,19,NO,NO,Receiving and Withdrawing,50,ATM,60,1,NO,<30,High,10,Yes,live.com
W4,Driving licence Provisional,heidenreich.cordie@verizon.net,UK ,1,18,NO,NO,Receiving and Withdrawing,100,ATM,50,1,NO,<30,Low,50,Yes,verizon.net
W5,Passport ,xgottlieb@outlook.com,Europe ,4,19,NO,NO,Day to date,20,ATM,40,2,NO,<30,High,20,Yes,outlook.com
W6,Passport ,wuckert.chyna@mac.com,Other,1,19,NO,NO,Day to date,20,Day to date,50,7,NO,<30,High,30,No,mac.com
W7,Passport ,zstoltenberg@msn.com,High Risk Coutry,1,21,YES,YES,ATM,20,Day to date,40,3,YES,<30,High,20,Yes,msn.com
W8,Passport ,nikita.turcotte@yahoo.ca,High Risk Coutry,1,21,YES,YES,ATM,20,Day to date,20,3,YES,<30,Same,0,Yes,yahoo.ca
W9,ID Card,purdy.delilah@me.com,UK ,1,18,NO,YES,Friends and Family,30,ATM,70,3,NO,<30,High,40,Yes,me.com
W10,ID Card,chadrick.mertz@icloud.com,Europe ,1,19,NO,NO,Receiving and Withdrawing,40,ATM,20,2,NO,<30,Low,20,Yes,icloud.com
W11,ID Card,bruen.humberto@mac.com,Other,1,18,NO,NO,Receiving and Withdrawing,20,ATM,20,7,NO,<30,Same,0,Yes,mac.com
W12,Residence permit ,eula.rippin@live.com,High Risk Coutry,3,19,NO,NO,Receiving and Withdrawing,70,ATM,20,1,NO,<30,Low,50,Yes,live.com
W13,Residence permit ,bergnaum.craig@gmail.it,High Risk Coutry,2,19,YES,NO,Receiving and Withdrawing,100,Friends and Family,20,2,NO,<30,Low,80,Yes,gmail.it
W14,Driving licence Full,gustave43@sbcglobal.net,UK ,3,21,YES,NO,Receiving and Withdrawing,60,Receiving and Withdrawing,30,1,NO,<30,Low,30,No,sbcglobal.net
W15,Driving licence Full,ikeebler@yahoo.com,UK ,2,21,YES,NO,Day to date,60,ATM,40,1,NO,<30,Low,20,Yes,yahoo.com
W16,Driving licence Full,yharber@icloud.com,Other,1,18,YES,YES,Day to date,50,ATM,20,1,NO,<30,Low,30,Yes,icloud.com
W17,Driving licence Provisional,vonrueden.gideon@comcast.net,High Risk Coutry,3,19,NO,YES,ATM,40,ATM,70,1,NO,<30,High,30,No,comcast.net
W18,Driving licence Provisional,wschimmel@hotmail.com,UK ,1,18,NO,YES,ATM,50,Friends and Family,100,1,NO,<30,High,50,Yes,hotmail.com
W19,Driving licence Provisional,arnaldo.cormier@comcast.net,Europe ,2,19,NO,YES,Friends and Family,20,Receiving and Withdrawing,60,2,YES,<30,High,40,Yes,comcast.net
W20,Driving licence Provisional,lina13@hotmail.com,Other,5,19,NO,YES,Receiving and Withdrawing,20,ATM,60,9,NO,<30,High,40,Yes,hotmail.com
W21,Driving licence Provisional,zoe.dickens@live.com,High Risk Coutry,5,21,NO,YES,Receiving and Withdrawing,20,Day to date,50,9,NO,<30,High,30,Yes,live.com
W22,Passport ,mnader@verizon.net,High Risk Coutry,6,21,NO,YES,Receiving and Withdrawing,30,Day to date,40,9,NO,<30,High,10,Yes,verizon.net
W23,Passport ,grant.elza@outlook.com,UK ,2,25,YES,YES,Receiving and Withdrawing,60,Day to date,50,9,NO,<30,Low,10,Yes,outlook.com
W24,Passport ,dubuque.bonnie@mac.com,Europe ,3,27,YES,YES,Receiving and Withdrawing,60,ATM,40,9,NO,<30,Low,20,Yes,mac.com
W25,ID Card,raynor.cleta@msn.com,Other,6,26,NO,YES,Day to date,50,ATM,20,7,NO,<30,Low,30,Yes,msn.com
W26,ID Card,harrison.parker@yahoo.ca,Europe ,6,23,NO,YES,Day to date,20,ATM,70,7,NO,<30,High,50,Yes,yahoo.ca
W27,ID Card,gfadel@me.com,UK ,3,35,NO,YES,Friends and Family,20,ATM,20,3,NO,30-40,Same,0,Yes,me.com
W28,Residence permit ,toy.ofelia@icloud.com,Europe ,3,25,NO,NO,Receiving and Withdrawing,20,Friends and Family,20,3,NO,<30,Same,0,Yes,icloud.com
W29,Residence permit ,qdubuque@mac.com,Other,3,37,YES,NO,Receiving and Withdrawing,30,Receiving and Withdrawing,20,3,NO,30-40,Low,10,No,mac.com
W30,Driving licence Full,santina.hauck@live.com,High Risk Coutry,1,18,YES,NO,Receiving and Withdrawing,60,ATM,20,2,NO,<30,Low,40,Yes,live.com
W31,Driving licence Full,ahessel@gmail.it,High Risk Coutry,1,21,YES,NO,Receiving and Withdrawing,60,ATM,30,7,NO,<30,Low,30,Yes,gmail.it
W32,Driving licence Full,elinore.swaniawski@sbcglobal.net,UK ,1,21,YES,NO,Receiving and Withdrawing,50,ATM,40,1,NO,<30,Low,10,Yes,sbcglobal.net
W33,Driving licence Provisional,fheller@yahoo.com,Europe ,1,22,NO,NO,Day to date,20,Friends and Family,20,2,NO,<30,Same,0,Yes,yahoo.com
W34,Driving licence Provisional,predovic.syble@icloud.com,Other,3,21,NO,NO,Day to date,20,Receiving and Withdrawing,70,1,NO,<30,High,50,Yes,icloud.com
W35,Passport ,hahn.vivienne@comcast.net,High Risk Coutry,2,27,NO,YES,ATM,20,ATM,100,1,NO,<30,High,80,No,comcast.net
W36,Passport ,volkman.augustine@hotmail.com,High Risk Coutry,3,25,NO,YES,ATM,30,ATM,60,1,NO,<30,High,30,No,hotmail.com
